sampler,model,cv_f1_mean,cv_f1_orig,test_f1,test_roc_auc,pr_auc,holdout_f1,holdout_roc_auc,confusion_matrices
smote_tomek,random_forest,0.8781486065080131,0.860040829299523,0.8920962199312714,0.9238095238095239,0.9800287896658663,0.5066275101198507,0.7652439024390244,"[[52, 0], [16, 89]]"
smote_tomek,logistic_regression,0.8792341650687969,1.0,0.9311403508771929,0.9523809523809523,0.9956270701582275,0.5855263157894737,0.9268292682926829,"[[52, 0], [10, 95]]"
smote_tomek,decision_tree,0.7859166505070158,0.5696349892530479,0.8231760730822175,0.8714285714285714,0.9574158325750682,0.4374701036407122,0.8079268292682926,"[[52, 0], [27, 78]]"
smote_tomek,knn,0.552909841859206,0.4939612997444323,0.700199081786048,0.7761904761904762,0.9794965119805884,0.32292917166866747,0.4695121951219512,"[[52, 0], [47, 58]]"
smote_tomek,svm,0.9664276105610826,1.0,0.9787349315996208,0.9857142857142858,1.0,0.5022222222222222,0.6585365853658536,"[[52, 0], [3, 102]]"
random_over_under,random_forest,0.9254823890851396,0.860040829299523,0.8666545718432511,0.8668359941944848,0.9698387087775555,0.7439024390243902,0.7439024390243902,"[[45, 8], [6, 46]]"
random_over_under,logistic_regression,0.9422318420054039,1.0,0.9329440744457622,0.9326923076923077,0.9898533685789938,0.5831265508684863,0.8170731707317073,"[[53, 0], [7, 45]]"
random_over_under,decision_tree,0.8451894763396094,0.5696349892530479,0.767870302137067,0.7726777939042091,0.8327244027901923,0.6161993769470405,0.7225609756097561,"[[34, 19], [5, 47]]"
random_over_under,knn,0.5452732014588076,0.4939612997444323,0.5655172413793104,0.625,0.9514652014652014,0.24200947867298578,0.5152439024390244,"[[53, 0], [39, 13]]"
random_over_under,svm,0.980821872065101,1.0,0.9713870469615768,0.9711538461538461,1.0,0.47356490432695514,0.7347560975609756,"[[53, 0], [3, 49]]"
adasyn_nearmiss,random_forest,0.8560885587338845,0.860040829299523,0.823728813559322,0.826923076923077,0.9393990437978369,0.47670639219934996,0.7378048780487805,"[[50, 2], [16, 36]]"
adasyn_nearmiss,logistic_regression,0.8095678106033356,1.0,0.7894939759036144,0.7980769230769231,0.9763162943103227,0.4925137903861308,0.8597560975609756,"[[52, 0], [21, 31]]"
adasyn_nearmiss,decision_tree,0.7625965832432146,0.5696349892530479,0.8003072196620584,0.8076923076923077,0.9038461538461539,0.4280998555807716,0.7987804878048781,"[[52, 0], [20, 32]]"
adasyn_nearmiss,knn,0.4446841093624407,0.4939612997444323,0.4135338345864662,0.5384615384615384,0.889423076923077,0.17823109532954093,0.5884146341463414,"[[52, 0], [48, 4]]"
adasyn_nearmiss,svm,0.9735444486401523,1.0,0.9903837263060564,0.9903846153846154,1.0,0.46815872782154166,0.625,"[[52, 0], [1, 51]]"
