undersampler,model,cv_f1_mean,cv_f1_orig,test_f1,test_roc_auc,pr_auc,holdout_f1,holdout_roc_auc,confusion_matrices
random_undersampling,random_forest,0.3333333333333333,0.7077614148525809,0.3333333333333333,0.5,0.75,0.02247191011235955,0.5,"[[3, 0], [3, 0]]"
random_undersampling,logistic_regression,0.5266666666666666,0.9660818713450293,0.3333333333333333,0.5,1.0,0.3763440860215054,0.75,"[[3, 0], [3, 0]]"
random_undersampling,decision_tree,0.3333333333333333,0.5849503167231841,0.3333333333333333,0.5,0.75,0.6956268221574344,0.625,"[[0, 3], [0, 3]]"
tomek_links,random_forest,0.7583568559954103,0.7077614148525809,0.49321266968325794,0.5,0.9984342012649823,0.9271051529116046,0.875,"[[0, 3], [0, 109]]"
tomek_links,logistic_regression,0.7632315270935961,0.9660818713450293,0.7454545454545455,0.6666666666666667,0.9996663748704822,0.9271051529116046,0.875,"[[1, 2], [0, 109]]"
tomek_links,decision_tree,0.5496104897923645,0.5849503167231841,0.5881462253947654,0.9220183486238532,0.9979112057667103,0.5843287147634973,0.8191176470588235,"[[3, 0], [17, 92]]"
nearmiss,random_forest,0.3333333333333333,0.7077614148525809,0.3333333333333333,0.5,0.75,0.02247191011235955,0.5,"[[3, 0], [3, 0]]"
nearmiss,logistic_regression,0.6533333333333333,0.9660818713450293,0.8285714285714285,0.8333333333333334,0.9027777777777777,0.3639462767486754,0.7382352941176471,"[[2, 1], [0, 3]]"
nearmiss,decision_tree,0.3333333333333333,0.5849503167231841,0.4857142857142857,0.5,0.5833333333333334,0.23937751355132017,0.6323529411764706,"[[2, 1], [2, 1]]"
